utt_id,script_text,whisper_text,match_ratio,verbatim_text
s02_A_modal_C037,Where is the nearest pharmacy?,What is the nearest pharmacy?,0.4,What is the nearest pharmacy?
s02_A_modal_C024,What is twenty percent of forty-three dollars?,What is 20 % of $43?,0.429,What is twenty percent of forty-three dollars?
s02_B_natural_C024,What is twenty percent of forty-three dollars?,What is 20 % of $43?,0.429,What is twenty percent of forty-three dollars?
s01_A_modal_C024,What is twenty percent of forty-three dollars?,What is 20 % of $43?,0.571,What is twenty percent of forty-three dollars?
s02_A_modal_D011,They shipped the equipment in reinforced crates.,They shipped the equipment and reinforced crates.,0.571,They shipped the equipment in reinforced crate.
s01_C_creak_D017,I bought a secondhand bicycle for forty dollars.,I brought a second -hand bicycle for $40.,0.625,I bought a secondhand bicycle for forty dollars.
s02_C_creak_D017,I bought a secondhand bicycle for forty dollars.,I bought a second -hand bicycle for $40.,0.625,I bought a secondhand bicycle for forty dollars.
s01_A_modal_C017,Set an alarm for six forty-five.,Set an alarm for 6 .45.,0.667,Set an alarm for six forty-five.
s01_A_modal_C039,What's on my agenda this morning?,What is my agenda this morning?,0.667,What is my agenda this morning?
s02_A_modal_C017,Set an alarm for six forty-five.,Set an alarm for 6 .45.,0.667,Set an alarm for six forty-five.
s01_B_natural_C017,Set an alarm for six forty-five.,Set an alarm for 645.,0.667,Set an alarm for six forty-five.
s02_B_natural_C017,Set an alarm for six forty-five.,Set an alarm for $6 .45.,0.667,Set an alarm for six forty-five.
s01_C_creak_C017,Set an alarm for six forty-five.,Set an alarm for 6 .45.,0.667,Set an alarm for six forty-five.
s02_C_creak_C017,Set an alarm for six forty-five.,Set an alarm for $6 .45.,0.667,Set an alarm for six forty-five.
s02_B_natural_F004,"He said he'd call back, but he never really did.","He said he'd call back, but he never did.",0.7,"He said he'd call back, but he never did."
s01_B_natural_C007,Add oat milk to my grocery list.,Add oat milk to my chest.,0.714,Add oatmilk to.
s02_B_natural_C028,Is it going to rain this evening?,Is it going to rain this evening?,0.714,Is it gonna rain this evening?
s01_C_creak_C024,What is twenty percent of forty-three dollars?,What is 20 % of $43?,0.714,What is twenty percent of forty-three dollars?
s02_A_modal_D017,I bought a secondhand bicycle for forty dollars.,I bought a second -hand bicycle for $40.,0.75,I bought a secondhand bicycle for forty dollars.
s02_B_natural_D017,I bought a secondhand bicycle for forty dollars.,I bought a second -hand bicycle for $40.,0.75,I bought a secondhand bicycle for forty dollars.
s01_A_modal_C015,Skip to the next song.,Skip to the next song.,0.8,Skip to the next song.
s01_A_modal_F012,We sat there in the car for maybe twenty minutes.,We sat in the car for maybe 20 minutes.,0.8,We sat in the car for maybe 20 minute.
s02_A_modal_D007,He measured the flour twice and still got it wrong.,He measured the flower twice and got it wrong.,0.8,He measured the flower twice and got it wrong.
s02_A_modal_C030,Delete the last voice memo.,delete that last voice memo.,0.8,delete that last voice memo.
s02_B_natural_F012,We sat there in the car for maybe twenty minutes.,We sat in the car for maybe 20 minutes.,0.8,We sat in the car for maybe 20 minutes.
s01_C_creak_F012,We sat there in the car for maybe twenty minutes.,We sat in the car for maybe 20 minutes.,0.8,We sat in the car for maybe 20 minutes.
s02_C_creak_F012,We sat there in the car for maybe twenty minutes.,We sat in the car for maybe 20 minutes.,0.8,We sat in the car for maybe 20 minutes.
s02_C_creak_F004,"He said he'd call back, but he never really did.","He said that he'd call back, but he never really did.",0.8,"He said that he'd call back, but he never really did."
s01_A_modal_C004,Play the new Noah Kahan album.,Play the new Noah Kahn album.,0.833,Play the new Noah Kahn album.
s01_A_modal_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
s01_A_modal_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes.,0.833,Play white noise for thirty minutes.
s01_A_modal_C035,How many days until September first?,How many days until September 3rd?,0.833,How many days until September?
s01_A_modal_C034,Show me photos from Cape Cod.,Show me photos of Cape Cod.,0.833,Show me photos of Cape Caw.
s01_A_modal_C019,Read my last message from Anjali.,Read my last message from Uncharted.,0.833,Read my last message from Anjali.
s01_A_modal_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s01_A_modal_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s02_A_modal_C004,Play the new Noah Kahan album.,Play the new Noah Kahn album.,0.833,Play the new Noah Kahn album.
s02_A_modal_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
s02_A_modal_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes.,0.833,Play white noise for thirty minutes.
s02_A_modal_C035,How many days until September first?,How many days until September 4th?,0.833,How many days until September?
s02_A_modal_C039,What's on my agenda this morning?,What's my agenda this morning?,0.833,What's my agenda this morning?
s02_A_modal_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s02_A_modal_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s01_B_natural_C019,Read my last message from Anjali.,Read my last message from under.,0.833,Read my last message from Anjali.
s01_B_natural_C004,Play the new Noah Kahan album.,Play the new Noah Kahn album.,0.833,Play the new Noah Kahn album.
s01_B_natural_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes.,0.833,Play white noise for thirty minutes.
s01_B_natural_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
s01_B_natural_C034,Show me photos from Cape Cod.,Show me photos of Cape Cod.,0.833,Show me photos of Cape Caw.
s01_B_natural_C026,Open the Praat documentation in Safari.,Open the Pratt documentation in Safari.,0.833,Open the Pratt documentation in Safari.
s01_B_natural_C014,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,0.833,Convert eighty degrees Fahrenheit to Celsius.
s02_B_natural_C004,Play the new Noah Kahan album.,Play the new Noah Kahn album.,0.833,Play the new Noah Kahn album.
s02_B_natural_C040,Play white noise for thirty minutes.,Play white noise for 30 minutes.,0.833,Play white noise for thirty minutes.
s02_B_natural_C035,How many days until September first?,How many days until September 4th?,0.833,How many days until September first?
s02_B_natural_C001,Set a timer for twelve minutes.,Set a timer for 12 minutes.,0.833,Set a timer for twelve minutes.
