utt_id,session,pass,was_corrected,hypothesis,script_text,verbatim_text,verbatim_substitutions,verbatim_deletions,verbatim_insertions,verbatim_reference_length,verbatim_wer,verbatim_alignment,script_substitutions,script_deletions,script_insertions,script_reference_length,script_wer,script_alignment
s01_A_modal_C001,s01,A_modal,False,Set a timer for 12 minutes,Set a timer for twelve minutes.,Set a timer for twelve minutes.,0,0,0,6,0.0,set a timer for twelve minutes,0,0,0,6,0.0,set a timer for twelve minutes
s01_A_modal_C002,s01,A_modal,False,Text Marcus that I'm running late,Text Marcus that I'm running late.,Text Marcus that I'm running late.,0,0,0,6,0.0,text marcus that i'm running late,0,0,0,6,0.0,text marcus that i'm running late
s01_A_modal_C003,s01,A_modal,False,What's the weather in Newton tomorrow,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,0,0,0,6,0.0,what's the weather in newton tomorrow,0,0,0,6,0.0,what's the weather in newton tomorrow
s01_A_modal_C004,s01,A_modal,True,Play the new Noah Kahan album,Play the new Noah Kahan album.,Play the new Noah Kahn album.,1,0,0,6,0.1667,play the new noah [kahn->kahan] album,0,0,0,6,0.0,play the new noah kahan album
s01_A_modal_C005,s01,A_modal,False,Remind me to email my advisor on Monday,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,0,0,0,8,0.0,remind me to email my advisor on monday,0,0,0,8,0.0,remind me to email my advisor on monday
s01_A_modal_C006,s01,A_modal,False,How long is the flight to Tokyo,How long is the flight to Tokyo?,How long is the flight to Tokyo?,0,0,0,7,0.0,how long is the flight to tokyo,0,0,0,7,0.0,how long is the flight to tokyo
s01_A_modal_C007,s01,A_modal,False,Add oat milk to my grocery list grocery list,Add oat milk to my grocery list.,Add oat milk to my grocery list.,0,0,2,7,0.2857,add oat milk to my [+grocery] [+list] grocery list,0,0,2,7,0.2857,add oat milk to my [+grocery] [+list] grocery list
s01_A_modal_C008,s01,A_modal,False,Call the gelato shop in Orchard,Call the gelato shop on Orchard Street.,Call the gelato shop on Orchard Street.,1,1,0,7,0.2857,call the gelato shop [on->in] orchard [-street],1,1,0,7,0.2857,call the gelato shop [on->in] orchard [-street]
s01_A_modal_C009,s01,A_modal,False,Turn off the bedroom light,Turn off the bedroom lights.,Turn off the bedroom lights.,1,0,0,5,0.2,turn off the bedroom [lights->light],1,0,0,5,0.2,turn off the bedroom [lights->light]
s01_A_modal_C010,s01,A_modal,False,What time does the library close today,What time does the library close today?,What time does the library close today?,0,0,0,7,0.0,what time does the library close today,0,0,0,7,0.0,what time does the library close today
