utt_id,hypothesis,os_version,recognizer,elapsed_ms
s01_A_modal_C001,Set a timer for 12 minutes,15.7.9,SFSpeechRecognizer,11542.7
s01_A_modal_C002,Text Marcus that I'm running late,15.7.9,SFSpeechRecognizer,1540.4
s01_A_modal_C003,What's the weather in Newton tomorrow,15.7.9,SFSpeechRecognizer,1251.7
s01_A_modal_C004,Play the new Noah Kahan album,15.7.9,SFSpeechRecognizer,1326.7
s01_A_modal_C005,Remind me to email my advisor on Monday,15.7.9,SFSpeechRecognizer,1212.1
s01_A_modal_C006,How long is the flight to Tokyo,15.7.9,SFSpeechRecognizer,1612.4
s01_A_modal_C007,Add oat milk to my grocery list grocery list,15.7.9,SFSpeechRecognizer,1397.1
s01_A_modal_C008,Call the gelato shop in Orchard,15.7.9,SFSpeechRecognizer,1626.3
s01_A_modal_C009,Turn off the bedroom light,15.7.9,SFSpeechRecognizer,969.1
s01_A_modal_C010,What time does the library close today,15.7.9,SFSpeechRecognizer,1033.4
s01_A_modal_C011,Navigate to Grand Central term,15.7.9,SFSpeechRecognizer,1358.1
s01_A_modal_C012,Send a photo to the choir group,15.7.9,SFSpeechRecognizer,1192.2
s01_A_modal_C013,Show me a calendar for next,15.7.9,SFSpeechRecognizer,1097.7
s01_A_modal_C014,Convert 80°F to Celsius,15.7.9,SFSpeechRecognizer,1553.7
s01_A_modal_C015,Skip to the next song,15.7.9,SFSpeechRecognizer,1461.6
s01_A_modal_C016,What's the score of the Mets game,15.7.9,SFSpeechRecognizer,1213.6
s01_A_modal_C017,Set an alarm for 6:45,15.7.9,SFSpeechRecognizer,1044.7
s01_A_modal_C018,Find a Ramen place open past midnight,15.7.9,SFSpeechRecognizer,1185.4
s01_A_modal_C019,Read my message list read my last message from,15.7.9,SFSpeechRecognizer,1621.7
s01_A_modal_C020,How do you say thank you in Japanese,15.7.9,SFSpeechRecognizer,1196.8
s01_A_modal_C021,Start a workout on my watch,15.7.9,SFSpeechRecognizer,1069.4
s01_A_modal_C022,Cancel my reminder about the dentist,15.7.9,SFSpeechRecognizer,1005.5
s01_A_modal_C023,Take a note about the pitch analytes,15.7.9,SFSpeechRecognizer,1186.2
s01_A_modal_C024,What is 20% of $43,15.7.9,SFSpeechRecognizer,913.1
s01_A_modal_C025,Turn the volume down a,15.7.9,SFSpeechRecognizer,654.9
s01_A_modal_C026,Open the Pratt documentation in Safari,15.7.9,SFSpeechRecognizer,1576.7
s01_A_modal_C027,Schedule a meeting for Friday afternoon,15.7.9,SFSpeechRecognizer,1016.9
s01_A_modal_C028,Is it going to rain this evening,15.7.9,SFSpeechRecognizer,1011.8
s01_A_modal_C029,Play something quiet while I study,15.7.9,SFSpeechRecognizer,1504.3
s01_A_modal_C030,Delete the last voice memo,15.7.9,SFSpeechRecognizer,1024.9
s01_A_modal_C031,What's the fastest way to Morningside Heights,15.7.9,SFSpeechRecognizer,1420.0
s01_A_modal_C032,Add Wisteria trellis to my shopping list,15.7.9,SFSpeechRecognizer,1910.6
s01_A_modal_C033,Tell me a joke about linguist,15.7.9,SFSpeechRecognizer,1071.0
s01_A_modal_C034,Show me photos of Cape Cod,15.7.9,SFSpeechRecognizer,1292.9
s01_A_modal_C035,How many days until September,15.7.9,SFSpeechRecognizer,1128.0
s01_A_modal_C036,Turn on do not disturb until,15.7.9,SFSpeechRecognizer,1058.9
s01_A_modal_C037,Where is the nearest pharmacy,15.7.9,SFSpeechRecognizer,1066.5
s01_A_modal_C038,Email the lab about the annotation deadline,15.7.9,SFSpeechRecognizer,1698.7
s01_A_modal_C039,What is my agenda this morning,15.7.9,SFSpeechRecognizer,835.8
s01_A_modal_C040,Play White Noise for 30,15.7.9,SFSpeechRecognizer,953.2
s01_A_modal_D001,The old bridge ground under the weight of the truck,15.7.9,SFSpeechRecognizer,1408.3
s01_A_modal_D002,She poured the vinegar into a shallow glass dish,15.7.9,SFSpeechRecognizer,1458.5
s01_A_modal_D003,Seven zebras wandered across the dusty road,15.7.9,SFSpeechRecognizer,2515.0
s01_A_modal_D004,My grandmother kept her symbols in a wooden,15.7.9,SFSpeechRecognizer,1900.0
s01_A_modal_D005,The judge asked for silence in the crowded,15.7.9,SFSpeechRecognizer,1731.9
s01_A_modal_D006,Thick fog settled over the harbor before Dawn,15.7.9,SFSpeechRecognizer,1564.0
s01_A_modal_D007,He measured the flower twice and still got it wrong,15.7.9,SFSpeechRecognizer,1464.6
s01_A_modal_D008,Purple thistles grew along the railway embankment,15.7.9,SFSpeechRecognizer,1728.6
s01_A_modal_D009,The choir rehearse the same passage 11 times,15.7.9,SFSpeechRecognizer,1322.7
s01_A_modal_D010,A single moth circled the porch light all evening,15.7.9,SFSpeechRecognizer,1538.3
s01_A_modal_D011,They shipped the equipment in reinforced crate,15.7.9,SFSpeechRecognizer,1420.0
s01_A_modal_D012,The tide pulled the small boat boat towards the rock,15.7.9,SFSpeechRecognizer,1318.7
s01_A_modal_D013,Cinnamon and clove filled the kitchen with warm,15.7.9,SFSpeechRecognizer,1262.8
s01_A_modal_D014,Nobody remembered who had locked the back door,15.7.9,SFSpeechRecognizer,1117.7
s01_A_modal_D015,The librarian stamped each card with quiet position,15.7.9,SFSpeechRecognizer,1256.0
s01_A_modal_D016,Wet leaves clogged the gutter the gutter above the window,15.7.9,SFSpeechRecognizer,1548.5
s01_A_modal_D017,I bought a secondhand bicycle for $40,15.7.9,SFSpeechRecognizer,1423.7
s01_A_modal_D018,The mountain village looked empty in the,15.7.9,SFSpeechRecognizer,1344.5
s01_A_modal_D019,Three sparrows fought over a crust of bread,15.7.9,SFSpeechRecognizer,1642.1
s01_A_modal_D020,His youngest brother plays the trumpet in the marching band,15.7.9,SFSpeechRecognizer,1689.2
s01_A_modal_D021,The recipe called for saffron which we could not,15.7.9,SFSpeechRecognizer,1420.0
s01_A_modal_D022,Snow buried the fence posts by early January,15.7.9,SFSpeechRecognizer,1455.1
s01_A_modal_D023,She wrote the whole essay on a borrowed laptop,15.7.9,SFSpeechRecognizer,1364.4
s01_A_modal_D024,The engine coughed once and then went silent,15.7.9,SFSpeechRecognizer,1226.7
s01_A_modal_D025,Amber light spilled across the polished floorboards,15.7.9,SFSpeechRecognizer,1298.1
s01_A_modal_D026,We watched the storm move east across the Valley,15.7.9,SFSpeechRecognizer,1514.8
s01_A_modal_D027,The tailor pinned the ham with practice finger,15.7.9,SFSpeechRecognizer,1333.8
s01_A_modal_D028,Salt crusted the windows of the beach,15.7.9,SFSpeechRecognizer,1284.1
s01_A_modal_D029,Their apartment smelled faintly of turpentine,15.7.9,SFSpeechRecognizer,1228.9
s01_A_modal_D030,A heron stood motionless at the edge of the pond,15.7.9,SFSpeechRecognizer,1649.7
s01_A_modal_D031,The clock in the hallway runs about four minutes fast,15.7.9,SFSpeechRecognizer,1497.0
s01_A_modal_D032,He folded the newspaper and set it on the table,15.7.9,SFSpeechRecognizer,1433.6
s01_A_modal_D033,Bright green algae covered the surface of the water,15.7.9,SFSpeechRecognizer,1305.7
s01_A_modal_D034,The children traded sticks during the long bus ride,15.7.9,SFSpeechRecognizer,1428.7
s01_A_modal_D035,Rain hammered the tin roof for most of the night,15.7.9,SFSpeechRecognizer,1536.3
s01_A_modal_F001,I don't really know what she was thinking honestly,15.7.9,SFSpeechRecognizer,1158.3
s01_A_modal_F002,We ended up walking the whole way home,15.7.9,SFSpeechRecognizer,1462.9
s01_A_modal_F003,It was one of those afternoons were nothing happened at,15.7.9,SFSpeechRecognizer,1500.9
s01_A_modal_F004,He said he'd call back but he never really did,15.7.9,SFSpeechRecognizer,1406.0
s01_A_modal_F005,The whole thing fell apart before anyone noticed apparently,15.7.9,SFSpeechRecognizer,1415.3
s01_A_modal_F006,I guess that's just how it goes sometime,15.7.9,SFSpeechRecognizer,1122.9
s01_A_modal_F007,She left the party early and nobody said anything,15.7.9,SFSpeechRecognizer,1554.1
s01_A_modal_F008,It's not that I mind it's just kind of strange,15.7.9,SFSpeechRecognizer,1337.8
s01_A_modal_F009,They moved out to Oregon a couple years ago,15.7.9,SFSpeechRecognizer,1343.8
s01_A_modal_F010,Nothing about that story adds up if you think about it,15.7.9,SFSpeechRecognizer,1519.2
s01_A_modal_F011,I've been meaning to write back for a while now,15.7.9,SFSpeechRecognizer,834.4
s01_A_modal_F012,We sat in the car for maybe 20 minutes,15.7.9,SFSpeechRecognizer,997.0
s01_A_modal_F013,He's been doing that same job for 11 years,15.7.9,SFSpeechRecognizer,1253.3
s01_A_modal_F014,It rained the entire week we were on island,15.7.9,SFSpeechRecognizer,1177.4
s01_A_modal_F015,I never learned how to swim which is embarrassing,15.7.9,SFSpeechRecognizer,1445.7
s01_A_modal_F016,That's pretty much all anyone talked about after work,15.7.9,SFSpeechRecognizer,1743.8
s01_A_modal_F017,She kept apologizing even though it wasn't her fault,15.7.9,SFSpeechRecognizer,1444.1
s01_A_modal_F018,The apartment was smaller than we expected obviously,15.7.9,SFSpeechRecognizer,1263.4
s01_A_modal_F019,I think I left my keys somewhere in the stair,15.7.9,SFSpeechRecognizer,1244.1
s01_A_modal_F020,It turned out fine more or less in the,15.7.9,SFSpeechRecognizer,1194.4
s01_A_modal_F021,Nobody warned us about the traffic on the way in,15.7.9,SFSpeechRecognizer,1255.4
s01_A_modal_F022,He mentioned it once and then never brought it up again,15.7.9,SFSpeechRecognizer,1614.1
s01_A_modal_F023,We were both too tired to argue about it anymore,15.7.9,SFSpeechRecognizer,1341.5
s01_A_modal_F024,Fine I've been putting that conversation off for months,15.7.9,SFSpeechRecognizer,1525.3
s01_A_modal_F025,It felt like the longest week of the entire summer,15.7.9,SFSpeechRecognizer,1264.9
s01_B_natural_C001,Set a timer for 12 minutes,15.7.9,SFSpeechRecognizer,905.5
s01_B_natural_C002,Text Marcus that I'm running late,15.7.9,SFSpeechRecognizer,988.1
s01_B_natural_C003,What's the weather in Newton tomorrow,15.7.9,SFSpeechRecognizer,998.1
s01_B_natural_C004,Play the new Noah Kahan,15.7.9,SFSpeechRecognizer,953.3
s01_B_natural_C005,Remind me to email my advisor on Monday,15.7.9,SFSpeechRecognizer,1160.1
s01_B_natural_C006,How long is the flight to Tokyo,15.7.9,SFSpeechRecognizer,853.5
s01_B_natural_C007,Add oat milk to,15.7.9,SFSpeechRecognizer,582.5
s01_B_natural_C008,Call the gelato shop on Orchard Street,15.7.9,SFSpeechRecognizer,1125.6
s01_B_natural_C009,Turn off the bedroom lights,15.7.9,SFSpeechRecognizer,806.9
s01_B_natural_C010,What time does the library close today,15.7.9,SFSpeechRecognizer,931.9
s01_B_natural_C011,Navigate to Grand Central terminal,15.7.9,SFSpeechRecognizer,1071.4
s01_B_natural_C012,Send a photo to the choir group chat,15.7.9,SFSpeechRecognizer,1109.5
