utt_id,session,pass,verbatim_text,hypothesis,model_size,compute_type,elapsed_ms,substitutions,deletions,insertions,reference_length,wer,alignment
s01_A_modal_C002,s01,A_modal,Text Marcus that I'm running late.,Text Marcus that I'm running late.,large-v3,int8,57022.7,0,0,0,6,0.0,text marcus that i'm running late
s01_A_modal_C007,s01,A_modal,Add oat milk to my grocery list.,Add oat milk to my grocery list.,large-v3,int8,57067.0,0,0,0,7,0.0,add oat milk to my grocery list
s01_A_modal_C004,s01,A_modal,Play the new Noah Kahn album.,Play the new Noah Kahn album.,large-v3,int8,57415.8,0,0,0,6,0.0,play the new noah kahn album
s01_A_modal_C006,s01,A_modal,How long is the flight to Tokyo?,How long is the flight to Tokyo?,large-v3,int8,57773.7,0,0,0,7,0.0,how long is the flight to tokyo
s01_A_modal_C003,s01,A_modal,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,large-v3,int8,57779.3,0,0,0,6,0.0,what's the weather in newton tomorrow
s01_A_modal_C005,s01,A_modal,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,large-v3,int8,58051.2,0,0,0,8,0.0,remind me to email my advisor on monday
s01_A_modal_C008,s01,A_modal,Call the gelato shop on Orchard Street.,call the gelato shop on Orchard Street.,large-v3,int8,58489.0,0,0,0,7,0.0,call the gelato shop on orchard street
s01_A_modal_C001,s01,A_modal,Set a timer for twelve minutes.,Set a timer for 12 minutes.,large-v3,int8,58936.2,0,0,0,6,0.0,set a timer for twelve minutes
s01_A_modal_C009,s01,A_modal,Turn off the bedroom lights.,Turn off the bedroom lights.,large-v3,int8,58436.5,0,0,0,5,0.0,turn off the bedroom lights
s01_A_modal_C014,s01,A_modal,Convert eighty degrees Fahrenheit to Celsius.,Convert 80 degrees Fahrenheit to Celsius.,large-v3,int8,58091.0,0,0,0,6,0.0,convert eighty degrees fahrenheit to celsius
s01_A_modal_C010,s01,A_modal,What time does the library close today?,What time does the library close today?,large-v3,int8,59277.1,0,0,0,7,0.0,what time does the library close today
s01_A_modal_C012,s01,A_modal,Send a photo to the choir group chat.,Send a photo to the choir group chat.,large-v3,int8,58956.7,0,0,0,8,0.0,send a photo to the choir group chat
s01_A_modal_C013,s01,A_modal,Show me a calendar for next Thursday.,Show me a calendar for next Thursday.,large-v3,int8,59325.0,0,0,0,7,0.0,show me a calendar for next thursday
s01_A_modal_C011,s01,A_modal,Navigate to Grand Central Terminal.,Navigate to Grand Central Terminal.,large-v3,int8,60160.1,0,0,0,5,0.0,navigate to grand central terminal
s01_A_modal_C015,s01,A_modal,Skip to the next song.,to the next song.,large-v3,int8,59225.9,0,1,0,5,0.2,[-skip] to the next song
s01_A_modal_C016,s01,A_modal,What's the score of the Mets game?,What's the score of the Mets game?,large-v3,int8,61199.2,0,0,0,7,0.0,what's the score of the mets game
s01_A_modal_C017,s01,A_modal,Set an alarm for six forty-five.,Set an alarm for 645.,large-v3,int8,56220.8,0,0,1,7,0.1429,set an alarm for six [+hundred] forty five
s01_A_modal_C018,s01,A_modal,Find a ramen place open past midnight.,Find a ramen place open past midnight.,large-v3,int8,55610.0,0,0,0,7,0.0,find a ramen place open past midnight
s01_A_modal_C020,s01,A_modal,How do you say thank you in Japanese?,How do you say thank you in Japanese?,large-v3,int8,55887.3,0,0,0,8,0.0,how do you say thank you in japanese
s01_A_modal_C019,s01,A_modal,Read my last message from Anjali.,Read my last message from...,large-v3,int8,56545.2,0,1,0,6,0.1667,read my last message from [-anjali]
s01_A_modal_C021,s01,A_modal,Start a workout on my watch.,Start a workout on my watch.,large-v3,int8,56459.1,0,0,0,6,0.0,start a workout on my watch
s01_A_modal_C022,s01,A_modal,Cancel my reminder about the dentist.,Cancel my reminder about the dentist.,large-v3,int8,55974.0,0,0,0,6,0.0,cancel my reminder about the dentist
s01_A_modal_C023,s01,A_modal,Take a note about the pitch analysis.,take a note about the pitch analysis.,large-v3,int8,56879.8,0,0,0,7,0.0,take a note about the pitch analysis
s01_A_modal_C024,s01,A_modal,What is twenty percent of forty-three dollars?,What is 20% of $43?,large-v3,int8,56101.6,0,0,0,8,0.0,what is twenty percent of forty three dollars
s01_A_modal_C025,s01,A_modal,Turn the volume down a little.,Turn the volume down a little.,large-v3,int8,188074.4,0,0,0,6,0.0,turn the volume down a little
s01_A_modal_C027,s01,A_modal,Schedule a meeting for Friday afternoon.,Schedule a meeting for Friday afternoon.,large-v3,int8,187638.3,0,0,0,6,0.0,schedule a meeting for friday afternoon
s01_A_modal_C026,s01,A_modal,Open the Praat documentation in Safari.,open the Pratt documentation in Safari.,large-v3,int8,188928.9,1,0,0,6,0.1667,open the [praat->pratt] documentation in safari
s01_A_modal_C028,s01,A_modal,Is it going to rain this evening?,Is it going to rain this evening?,large-v3,int8,188110.0,0,0,0,7,0.0,is it going to rain this evening
s01_A_modal_C030,s01,A_modal,Delete the last voice memo.,Delete the last voice memo.,large-v3,int8,187858.6,0,0,0,5,0.0,delete the last voice memo
s01_A_modal_C029,s01,A_modal,Play something quiet while I study.,Play something quiet while I study.,large-v3,int8,187942.1,0,0,0,6,0.0,play something quiet while i study
s01_A_modal_C031,s01,A_modal,What's the fastest way to Morningside Heights?,What's the fastest way to Morningside Heights?,large-v3,int8,189154.1,0,0,0,7,0.0,what's the fastest way to morningside heights
s01_A_modal_C032,s01,A_modal,Add a wisteria trellis to my shopping list.,Add Wisteria Trellis to my shopping list.,large-v3,int8,189897.5,0,1,0,8,0.125,add [-a] wisteria trellis to my shopping list
s01_A_modal_C033,s01,A_modal,Tell me a joke about linguists.,Tell me a joke about linguists.,large-v3,int8,49849.1,0,0,0,6,0.0,tell me a joke about linguists
s01_A_modal_C034,s01,A_modal,Show me photos of Cape Caw.,Show me photos of Cape Cod.,large-v3,int8,49437.8,1,0,0,6,0.1667,show me photos of cape [caw->cod]
s01_A_modal_C035,s01,A_modal,How many days until September?,How many days until September 1st?,large-v3,int8,49840.3,0,0,1,5,0.2,how many days until september [+onest]
s01_A_modal_C037,s01,A_modal,Where is the nearest pharmacy?,But where is the nearest pharmacy?,large-v3,int8,49491.6,0,0,1,5,0.2,[+but] where is the nearest pharmacy
s01_A_modal_C036,s01,A_modal,Turn on do not disturb until noon.,Turn on Do Not Disturb until noon.,large-v3,int8,50119.2,0,0,0,7,0.0,turn on do not disturb until noon
s01_A_modal_C038,s01,A_modal,Email the lab about the annotation deadline.,Email the lab about the annotation deadline.,large-v3,int8,50695.6,0,0,0,7,0.0,email the lab about the annotation deadline
s01_A_modal_C039,s01,A_modal,What is my agenda this morning?,What is my agenda this morning?,large-v3,int8,50654.6,0,0,0,6,0.0,what is my agenda this morning
s01_A_modal_C040,s01,A_modal,Play white noise for thirty minutes.,Pissed. Play white noise for 30 minutes.,large-v3,int8,51664.6,0,0,1,6,0.1667,[+pissed] play white noise for thirty minutes
s01_A_modal_D002,s01,A_modal,She poured the vinegar into a shallow glass dish.,She poured the vinegar into a shallow glass dish.,large-v3,int8,52184.6,0,0,0,9,0.0,she poured the vinegar into a shallow glass dish
s01_A_modal_D003,s01,A_modal,Seven zebras wandered across the dusty road.,Seven zebras wandered across the dusty road.,large-v3,int8,51899.8,0,0,0,7,0.0,seven zebras wandered across the dusty road
s01_A_modal_D001,s01,A_modal,The old bridge groaned under the weight of the truck.,The old bridge groaned under the weight of the truck.,large-v3,int8,53091.4,0,0,0,10,0.0,the old bridge groaned under the weight of the truck
s01_A_modal_D004,s01,A_modal,My grandmother kept her thimbles in a wooden box.,My grandmother kept her thimbles in a wooden box.,large-v3,int8,52135.9,0,0,0,9,0.0,my grandmother kept her thimbles in a wooden box
s01_A_modal_D005,s01,A_modal,The judge asked for silence in the crowded room.,The judge asked for silence in the crowded room.,large-v3,int8,53275.6,0,0,0,9,0.0,the judge asked for silence in the crowded room
s01_A_modal_D006,s01,A_modal,Thick fog settled over the harbor before dawn.,Thick fog settled over the harbor before dawn.,large-v3,int8,52658.6,0,0,0,8,0.0,thick fog settled over the harbor before dawn
s01_A_modal_D007,s01,A_modal,He measured the flour twice and still got it wrong.,He measured the flower twice and still got it wrong.,large-v3,int8,54231.4,1,0,0,10,0.1,he measured the [flour->flower] twice and still got it wrong
s01_A_modal_D008,s01,A_modal,Purple thistles grew along the railway embankment.,Purple thistles grew along the railway embankment.,large-v3,int8,53149.2,0,0,0,7,0.0,purple thistles grew along the railway embankment
s01_A_modal_D009,s01,A_modal,The choir rehearsed the same passage eleven times.,The choir rehearsed the same passage 11 times.,large-v3,int8,51847.5,0,0,0,8,0.0,the choir rehearsed the same passage eleven times
s01_A_modal_D011,s01,A_modal,They shipped the equipment in reinforced crates.,They shipped the equipment in reinforced crates.,large-v3,int8,52208.0,0,0,0,7,0.0,they shipped the equipment in reinforced crates
s01_A_modal_D010,s01,A_modal,A single moth circled the porch light all evening.,A single moth circled the porch light all evening.,large-v3,int8,52765.8,0,0,0,9,0.0,a single moth circled the porch light all evening
s01_A_modal_D012,s01,A_modal,The tide pulled the small boat towards the rocks.,The tide pulled the small boat towards the rocks.,large-v3,int8,52927.8,0,0,0,9,0.0,the tide pulled the small boat towards the rocks
