utt_id,session,pass,item_id,item_type,script_text,verbatim_text,was_corrected,wav_path,duration_sec
s01_A_modal_C001,s01,A_modal,C001,command,Set a timer for twelve minutes.,Set a timer for twelve minutes.,False,data/split/s01_A_modal_C001.wav,2.48
s01_A_modal_C002,s01,A_modal,C002,command,Text Marcus that I'm running late.,Text Marcus that I'm running late.,False,data/split/s01_A_modal_C002.wav,2.63
s01_A_modal_C003,s01,A_modal,C003,command,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,False,data/split/s01_A_modal_C003.wav,2.86
s01_A_modal_C004,s01,A_modal,C004,command,Play the new Noah Kahan album.,Play the new Noah Kahn album.,True,data/split/s01_A_modal_C004.wav,2.56
s01_A_modal_C005,s01,A_modal,C005,command,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,False,data/split/s01_A_modal_C005.wav,2.96
s01_A_modal_C006,s01,A_modal,C006,command,How long is the flight to Tokyo?,How long is the flight to Tokyo?,False,data/split/s01_A_modal_C006.wav,2.66
s01_A_modal_C007,s01,A_modal,C007,command,Add oat milk to my grocery list.,Add oat milk to my grocery list.,False,data/split/s01_A_modal_C007.wav,3.08
s01_A_modal_C008,s01,A_modal,C008,command,Call the gelato shop on Orchard Street.,Call the gelato shop on Orchard Street.,False,data/split/s01_A_modal_C008.wav,2.7
s01_A_modal_C009,s01,A_modal,C009,command,Turn off the bedroom lights.,Turn off the bedroom lights.,False,data/split/s01_A_modal_C009.wav,2.2
s01_A_modal_C010,s01,A_modal,C010,command,What time does the library close today?,What time does the library close today?,False,data/split/s01_A_modal_C010.wav,2.42
s01_A_modal_C011,s01,A_modal,C011,command,Navigate to Grand Central Terminal.,Navigate to Grand Central Terminal.,False,data/split/s01_A_modal_C011.wav,2.68
s01_A_modal_C012,s01,A_modal,C012,command,Send a photo to the choir group chat.,Send a photo to the choir group chat.,False,data/split/s01_A_modal_C012.wav,2.94
s01_A_modal_C013,s01,A_modal,C013,command,Show me my calendar for next Thursday.,Show me a calendar for next Thursday.,True,data/split/s01_A_modal_C013.wav,2.72
s01_A_modal_C014,s01,A_modal,C014,command,Convert eighty degrees Fahrenheit to Celsius.,Convert eighty degrees Fahrenheit to Celsius.,False,data/split/s01_A_modal_C014.wav,3.61
s01_A_modal_C015,s01,A_modal,C015,command,Skip to the next song.,Skip to the next song.,False,data/split/s01_A_modal_C015.wav,1.41
s01_A_modal_C016,s01,A_modal,C016,command,What's the score of the Mets game?,What's the score of the Mets game?,False,data/split/s01_A_modal_C016.wav,2.76
s01_A_modal_C017,s01,A_modal,C017,command,Set an alarm for six forty-five.,Set an alarm for six forty-five.,False,data/split/s01_A_modal_C017.wav,2.395
s01_A_modal_C018,s01,A_modal,C018,command,Find a ramen place open past midnight.,Find a ramen place open past midnight.,False,data/split/s01_A_modal_C018.wav,2.58
s01_A_modal_C019,s01,A_modal,C019,command,Read my last message from Anjali.,Read my last message from Anjali.,False,data/split/s01_A_modal_C019.wav,3.49
s01_A_modal_C020,s01,A_modal,C020,command,How do you say thank you in Japanese?,How do you say thank you in Japanese?,False,data/split/s01_A_modal_C020.wav,2.74
s01_A_modal_C021,s01,A_modal,C021,command,Start a workout on my watch.,Start a workout on my watch.,False,data/split/s01_A_modal_C021.wav,2.55
s01_A_modal_C022,s01,A_modal,C022,command,Cancel my reminder about the dentist.,Cancel my reminder about the dentist.,False,data/split/s01_A_modal_C022.wav,2.4
s01_A_modal_C023,s01,A_modal,C023,command,Take a note about the pitch analysis.,Take a note about the pitch analysis.,False,data/split/s01_A_modal_C023.wav,2.78
s01_A_modal_C024,s01,A_modal,C024,command,What is twenty percent of forty-three dollars?,What is twenty percent of forty-three dollars?,False,data/split/s01_A_modal_C024.wav,2.215
s01_A_modal_C025,s01,A_modal,C025,command,Turn the volume down a little.,Turn the volume down a little.,False,data/split/s01_A_modal_C025.wav,1.53
s01_A_modal_C026,s01,A_modal,C026,command,Open the Praat documentation in Safari.,Open the Praat documentation in Safari.,True,data/split/s01_A_modal_C026.wav,3.12
s01_A_modal_C027,s01,A_modal,C027,command,Schedule a meeting for Friday afternoon.,Schedule a meeting for Friday afternoon.,False,data/split/s01_A_modal_C027.wav,2.4
s01_A_modal_C028,s01,A_modal,C028,command,Is it going to rain this evening?,Is it going to rain this evening?,False,data/split/s01_A_modal_C028.wav,2.32
s01_A_modal_C029,s01,A_modal,C029,command,Play something quiet while I study.,Play something quiet while I study.,False,data/split/s01_A_modal_C029.wav,2.2
s01_A_modal_C030,s01,A_modal,C030,command,Delete the last voice memo.,Delete the last voice memo.,False,data/split/s01_A_modal_C030.wav,2.2
s01_A_modal_C031,s01,A_modal,C031,command,What's the fastest way to Morningside Heights?,What's the fastest way to Morningside Heights?,False,data/split/s01_A_modal_C031.wav,2.84
s01_A_modal_C032,s01,A_modal,C032,command,Add a wisteria trellis to my shopping list.,Add a wisteria trellis to my shopping list.,False,data/split/s01_A_modal_C032.wav,2.82
s01_A_modal_C033,s01,A_modal,C033,command,Tell me a joke about linguists.,Tell me a joke about linguists.,False,data/split/s01_A_modal_C033.wav,2.18
s01_A_modal_C034,s01,A_modal,C034,command,Show me photos from Cape Cod.,Show me photos of Cape Caw.,True,data/split/s01_A_modal_C034.wav,2.18
s01_A_modal_C035,s01,A_modal,C035,command,How many days until September first?,How many days until September?,True,data/split/s01_A_modal_C035.wav,2.37
s01_A_modal_C036,s01,A_modal,C036,command,Turn on do not disturb until noon.,Turn on do not disturb until noon.,False,data/split/s01_A_modal_C036.wav,2.5
s01_A_modal_C037,s01,A_modal,C037,command,Where is the nearest pharmacy?,Where is the nearest pharmacy?,False,data/split/s01_A_modal_C037.wav,2.28
s01_A_modal_C038,s01,A_modal,C038,command,Email the lab about the annotation deadline.,Email the lab about the annotation deadline.,False,data/split/s01_A_modal_C038.wav,3.12
s01_A_modal_C039,s01,A_modal,C039,command,What's on my agenda this morning?,What is my agenda this morning?,True,data/split/s01_A_modal_C039.wav,1.83
s01_A_modal_C040,s01,A_modal,C040,command,Play white noise for thirty minutes.,Play white noise for thirty minutes.,False,data/split/s01_A_modal_C040.wav,2.26
s01_A_modal_D001,s01,A_modal,D001,declarative,The old bridge groaned under the weight of the truck.,The old bridge groaned under the weight of the truck.,False,data/split/s01_A_modal_D001.wav,3.12
s01_A_modal_D002,s01,A_modal,D002,declarative,She poured the vinegar into a shallow glass dish.,She poured the vinegar into a shallow glass dish.,False,data/split/s01_A_modal_D002.wav,3.5
s01_A_modal_D003,s01,A_modal,D003,declarative,Seven zebras wandered across the dusty road.,Seven zebras wandered across the dusty road.,False,data/split/s01_A_modal_D003.wav,3.06
s01_A_modal_D004,s01,A_modal,D004,declarative,My grandmother kept her thimbles in a wooden box.,My grandmother kept her thimbles in a wooden box.,False,data/split/s01_A_modal_D004.wav,2.9
s01_A_modal_D005,s01,A_modal,D005,declarative,The judge asked for silence in the crowded room.,The judge asked for silence in the crowded room.,False,data/split/s01_A_modal_D005.wav,3.44
s01_A_modal_D006,s01,A_modal,D006,declarative,Thick fog settled over the harbor before dawn.,Thick fog settled over the harbor before dawn.,False,data/split/s01_A_modal_D006.wav,3.28
s01_A_modal_D007,s01,A_modal,D007,declarative,He measured the flour twice and still got it wrong.,He measured the flour twice and still got it wrong.,False,data/split/s01_A_modal_D007.wav,3.52
